"stand_id";"species";"count";"height_from";"height_to";"age"
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;3.18;3.38;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;2.72;2.92;20
"7 6 0 BF99 55 30 34 33 33";"Aspen";1353.88;0.99;1.19;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;1.15;1.35;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;1.23;1.43;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.94;1.14;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;1.25;1.45;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;1.63;1.83;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.95;1.15;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;1.93;2.13;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.38;0.58;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.72;0.92;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.94;1.14;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.2;0.4;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.31;0.51;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;1.49;1.69;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;2.81;3.01;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.63;0.83;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.73;0.93;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;2.24;2.44;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.36;0.56;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;3.22;3.42;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.48;0.68;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;2.87;3.07;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;3.15;3.35;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;2.49;2.69;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.5;0.7;20
"8 7 0 BF99 55 30 34 33 33";"Aspen";1301.13;0.82;1.02;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.43;1.63;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.82;1.02;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;2.33;2.53;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;3.81;4.01;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.66;1.86;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.63;0.83;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.3;0.5;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;2.44;2.64;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.14;1.34;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;2.58;2.78;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.36;0.56;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.15;0.35;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.85;2.05;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.4;1.6;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;2.03;2.23;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.73;0.93;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.73;0.93;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;2.86;3.06;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;0.81;1.01;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.91;2.11;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.9;2.1;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;3.25;3.45;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.27;1.47;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;3.11;3.31;20
"9 8 0 BF99 55 30 34 33 33";"Aspen";2041.1;1.81;2.01;20
"10 9 0 BF99 55 30 34 33 33";"Aspen";2840.5;2.15;2.35;20
"10 9 0 BF99 55 30 34 33 33";"Aspen";2840.5;0.44;0.64;20
"10 9 0 BF99 55 30 34 33 33";"Aspen";2840.5;1.01;1.21;20
