"stand_id";"species";"count";"height_from";"height_to";"age"
14;"Potr";1049.71;1.73;1.93;20
14;"Potr";1049.71;1.63;1.83;20
14;"Potr";1049.71;0.3;0.5;20
14;"Potr";1049.71;1.22;1.42;20
14;"Potr";1049.71;0.43;0.63;20
14;"Potr";1049.71;3.01;3.21;20
14;"Potr";1049.71;0.82;1.02;20
14;"Potr";1049.71;1.49;1.69;20
14;"Potr";1049.71;1.01;1.21;20
14;"Potr";1049.71;1.96;2.16;20
14;"Potr";1049.71;1.28;1.48;20
14;"Potr";1049.71;2.29;2.49;20
14;"Potr";1049.71;1.08;1.28;20
14;"Potr";1049.71;1.04;1.24;20
14;"Potr";1049.71;0.74;0.94;20
14;"Potr";1049.71;1.03;1.23;20
14;"Potr";1049.71;0.47;0.67;20
14;"Potr";1049.71;3.85;4.05;20
14;"Potr";1049.71;2.9;3.1;20
14;"Potr";1049.71;0.35;0.55;20
14;"Potr";1049.71;0.18;0.38;20
14;"Potr";1049.71;2.28;2.48;20
14;"Potr";1049.71;2.04;2.24;20
15;"Potr";1488.91;1.02;1.22;20
15;"Potr";1488.91;1.38;1.58;20
15;"Potr";1488.91;2.49;2.69;20
15;"Potr";1488.91;3.06;3.26;20
15;"Potr";1488.91;2.28;2.48;20
15;"Potr";1488.91;1.76;1.96;20
15;"Potr";1488.91;2.43;2.63;20
15;"Potr";1488.91;2.47;2.67;20
15;"Potr";1488.91;0.46;0.66;20
15;"Potr";1488.91;1.33;1.53;20
15;"Potr";1488.91;2.84;3.04;20
15;"Potr";1488.91;1;1.2;20
15;"Potr";1488.91;3.57;3.77;20
15;"Potr";1488.91;0.76;0.96;20
15;"Potr";1488.91;1.41;1.61;20
15;"Potr";1488.91;3.27;3.47;20
15;"Potr";1488.91;2.84;3.04;20
15;"Potr";1488.91;3.79;3.99;20
15;"Potr";1488.91;2.99;3.19;20
15;"Potr";1488.91;1.44;1.64;20
15;"Potr";1488.91;0.49;0.69;20
15;"Potr";1488.91;2.37;2.57;20
15;"Potr";1488.91;0.26;0.46;20
15;"Potr";1488.91;1.81;2.01;20
15;"Potr";1488.91;-0.03;0.17;20
16;"Potr";1506.98;1.35;1.55;20
16;"Potr";1506.98;2.69;2.89;20
16;"Potr";1506.98;0.92;1.12;20
16;"Potr";1506.98;2;2.2;20
16;"Potr";1506.98;1.02;1.22;20
16;"Potr";1506.98;0.27;0.47;20
16;"Potr";1506.98;2.92;3.12;20
16;"Potr";1506.98;1.99;2.19;20
16;"Potr";1506.98;2.28;2.48;20
16;"Potr";1506.98;0.57;0.77;20
16;"Potr";1506.98;1.17;1.37;20
16;"Potr";1506.98;0.42;0.62;20
16;"Potr";1506.98;1.73;1.93;20
16;"Potr";1506.98;0.82;1.02;20
16;"Potr";1506.98;1.87;2.07;20
16;"Potr";1506.98;0.4;0.6;20
16;"Potr";1506.98;1.86;2.06;20
16;"Potr";1506.98;1.45;1.65;20
16;"Potr";1506.98;1.52;1.72;20
16;"Potr";1506.98;1.33;1.53;20
16;"Potr";1506.98;2.43;2.63;20
16;"Potr";1506.98;1.54;1.74;20
16;"Potr";1506.98;0.24;0.44;20
16;"Potr";1506.98;2.18;2.38;20
16;"Potr";1506.98;1.34;1.54;20
17;"Potr";1281.08;2.23;2.43;20
17;"Potr";1281.08;1.51;1.71;20
17;"Potr";1281.08;0.72;0.92;20
17;"Potr";1281.08;0.39;0.59;20
17;"Potr";1281.08;0.22;0.42;20
17;"Potr";1281.08;2.04;2.24;20
17;"Potr";1281.08;0.77;0.97;20
17;"Potr";1281.08;0.99;1.19;20
17;"Potr";1281.08;2.15;2.35;20
17;"Potr";1281.08;1.06;1.26;20
17;"Potr";1281.08;1.51;1.71;20
17;"Potr";1281.08;0.7;0.9;20
17;"Potr";1281.08;0.95;1.15;20
17;"Potr";1281.08;1.88;2.08;20
17;"Potr";1281.08;1.13;1.33;20
17;"Potr";1281.08;1.7;1.9;20
17;"Potr";1281.08;3.5;3.7;20
17;"Potr";1281.08;1.15;1.35;20
17;"Potr";1281.08;1.33;1.53;20
17;"Potr";1281.08;1.05;1.25;20
17;"Potr";1281.08;0.82;1.02;20
17;"Potr";1281.08;1.41;1.61;20
17;"Potr";1281.08;1.43;1.63;20
17;"Potr";1281.08;0.67;0.87;20
17;"Potr";1281.08;0.99;1.19;20
18;"Potr";2598.65;0.73;0.93;20
18;"Potr";2598.65;3.36;3.56;20
18;"Potr";2598.65;2.02;2.22;20
18;"Potr";2598.65;0.84;1.04;20
18;"Potr";2598.65;2.76;2.96;20
18;"Potr";2598.65;2.66;2.86;20
18;"Potr";2598.65;1.88;2.08;20
18;"Potr";2598.65;0.36;0.56;20
18;"Potr";2598.65;1.66;1.86;20
18;"Potr";2598.65;0.45;0.65;20
18;"Potr";2598.65;0.71;0.91;20
18;"Potr";2598.65;0.3;0.5;20
18;"Potr";2598.65;0.71;0.91;20
18;"Potr";2598.65;2.54;2.74;20
18;"Potr";2598.65;1.34;1.54;20
18;"Potr";2598.65;1.4;1.6;20
18;"Potr";2598.65;2.75;2.95;20
18;"Potr";2598.65;1.83;2.03;20
18;"Potr";2598.65;2.23;2.43;20
18;"Potr";2598.65;1.2;1.4;20
18;"Potr";2598.65;1.96;2.16;20
18;"Potr";2598.65;0.36;0.56;20
18;"Potr";2598.65;1.09;1.29;20
18;"Potr";2598.65;1.6;1.8;20
18;"Potr";2598.65;2.7;2.9;20
19;"Potr";1180.93;1.51;1.71;20
19;"Potr";1180.93;2.06;2.26;20
19;"Potr";1180.93;3.04;3.24;20
19;"Potr";1180.93;1.49;1.69;20
19;"Potr";1180.93;2.87;3.07;20
19;"Potr";1180.93;0.98;1.18;20
19;"Potr";1180.93;1.2;1.4;20
19;"Potr";1180.93;1.92;2.12;20
19;"Potr";1180.93;2.41;2.61;20
19;"Potr";1180.93;1.46;1.66;20
19;"Potr";1180.93;0.32;0.52;20
19;"Potr";1180.93;1.13;1.33;20
19;"Potr";1180.93;1.76;1.96;20
19;"Potr";1180.93;0.76;0.96;20
19;"Potr";1180.93;0.33;0.53;20
19;"Potr";1180.93;2.57;2.77;20
19;"Potr";1180.93;2.49;2.69;20
19;"Potr";1180.93;1.37;1.57;20
19;"Potr";1180.93;0.54;0.74;20
19;"Potr";1180.93;1.03;1.23;20
19;"Potr";1180.93;1.21;1.41;20
19;"Potr";1180.93;2.72;2.92;20
19;"Potr";1180.93;1.59;1.79;20
19;"Potr";1180.93;0.74;0.94;20
19;"Potr";1180.93;1.04;1.24;20
20;"Potr";1486.43;3.1;3.3;20
20;"Potr";1486.43;0.9;1.1;20
20;"Potr";1486.43;1.05;1.25;20
20;"Potr";1486.43;2.35;2.55;20
20;"Potr";1486.43;0.62;0.82;20
20;"Potr";1486.43;0.32;0.52;20
20;"Potr";1486.43;1.77;1.97;20
20;"Potr";1486.43;3.73;3.93;20
20;"Potr";1486.43;0.31;0.51;20
20;"Potr";1486.43;1.05;1.25;20
20;"Potr";1486.43;1.86;2.06;20
20;"Potr";1486.43;3.54;3.74;20
20;"Potr";1486.43;2.46;2.66;20
20;"Potr";1486.43;0.18;0.38;20
20;"Potr";1486.43;1.24;1.44;20
20;"Potr";1486.43;1.06;1.26;20
20;"Potr";1486.43;0.75;0.95;20
20;"Potr";1486.43;1.4;1.6;20
20;"Potr";1486.43;3.69;3.89;20
20;"Potr";1486.43;0.54;0.74;20
20;"Potr";1486.43;0.56;0.76;20
20;"Potr";1486.43;0.2;0.4;20
20;"Potr";1486.43;2.98;3.18;20
20;"Potr";1486.43;2.6;2.8;20
20;"Potr";1486.43;1.78;1.98;20
21;"Potr";2420.43;2.65;2.85;20
21;"Potr";2420.43;2.19;2.39;20
21;"Potr";2420.43;0.5;0.7;20
21;"Potr";2420.43;0.71;0.91;20
21;"Potr";2420.43;0.34;0.54;20
21;"Potr";2420.43;3.15;3.35;20
21;"Potr";2420.43;0.31;0.51;20
21;"Potr";2420.43;1.28;1.48;20
21;"Potr";2420.43;0.82;1.02;20
21;"Potr";2420.43;3.46;3.66;20
21;"Potr";2420.43;0.72;0.92;20
21;"Potr";2420.43;2.16;2.36;20
21;"Potr";2420.43;1.51;1.71;20
21;"Potr";2420.43;1.69;1.89;20
21;"Potr";2420.43;0.89;1.09;20
21;"Potr";2420.43;0.61;0.81;20
21;"Potr";2420.43;1.59;1.79;20
21;"Potr";2420.43;1.57;1.77;20
21;"Potr";2420.43;-0.08;0.12;20
21;"Potr";2420.43;1.77;1.97;20
21;"Potr";2420.43;0.32;0.52;20
21;"Potr";2420.43;1.29;1.49;20
21;"Potr";2420.43;2.9;3.1;20
21;"Potr";2420.43;3;3.2;20
21;"Potr";2420.43;2.21;2.41;20
22;"Potr";407.65;0.95;1.15;20
22;"Potr";407.65;0.32;0.52;20
22;"Potr";407.65;1.44;1.64;20
22;"Potr";407.65;2.03;2.23;20
22;"Potr";407.65;1.14;1.34;20
22;"Potr";407.65;1.85;2.05;20
22;"Potr";407.65;1.52;1.72;20
22;"Potr";407.65;0.74;0.94;20
22;"Potr";407.65;2.46;2.66;20
22;"Potr";407.65;1.67;1.87;20
22;"Potr";407.65;1.34;1.54;20
22;"Potr";407.65;0.11;0.31;20
22;"Potr";407.65;1.35;1.55;20
22;"Potr";407.65;0.89;1.09;20
22;"Potr";407.65;0.02;0.22;20
22;"Potr";407.65;1.31;1.51;20
22;"Potr";407.65;2.08;2.28;20
22;"Potr";407.65;2.22;2.42;20
22;"Potr";407.65;2.23;2.43;20
22;"Potr";407.65;1.79;1.99;20
22;"Potr";407.65;1.44;1.64;20
22;"Potr";407.65;2.23;2.43;20
22;"Potr";407.65;3.01;3.21;20
22;"Potr";407.65;3.8;4;20
22;"Potr";407.65;1.19;1.39;20
